,p_in,T_in,cr,bore,far,PI,v_mean,T_fuel
0,1262411.818131017,658.3496392546087,6.498042420624026,0.28777878289963676,0.025381968404130758,0.9941707313294509,9.644733601104303,398.0994903412714
1,703276.298977955,341.28423649217365,9.70968876059273,0.1930759154376394,0.012165382797921606,1.410695317151602,14.51474480503041,484.71545522556426
2,2832685.260110026,799.7277663960363,7.652151710648402,0.163579604195011,0.020574934834563314,1.3756507364766304,8.462360255691461,361.22213757757356
3,659680.9990530415,880.6081876452251,6.645459983698882,0.23831195245292763,0.022116173927643618,1.3107695085314028,10.170439333245433,400.7206498053513
4,1715374.7223087444,923.1970339102888,8.296299847903207,0.15219763160801145,0.023980891281050878,1.0739557288522132,8.335570581727833,494.74660372010635
5,889329.1268950086,397.585856263138,7.251831327531112,0.24000859541698272,0.014947964557384997,1.0673158570692751,9.542314382567339,342.4342334379214
6,2768143.7383317645,601.3451086630737,11.512740027539257,0.15489990797162811,0.01577252107250858,1.4133100544743022,11.03600319211748,464.76438541937955
7,2279415.100581526,705.8050940581417,10.106958060900562,0.1363235683740808,0.016287722195525923,1.1839358671138158,11.882702167362732,493.8247000228517
8,537977.5771108,727.190624720977,8.873232237851777,0.1628212006237742,0.02078591423439275,0.956146898478323,10.973174895364513,279.02120476357095
9,581782.1204314454,653.0368121179947,10.294182509177494,0.18050898270134974,0.016410050692173862,0.9819101425045582,10.79210503874668,232.86432203581788
10,1659442.1019950395,947.5557764598497,7.9074557938846,0.13134791283850117,0.012655640843024157,1.0526372985641768,8.04734717422729,313.47076245539495
11,3754660.164720879,725.2674634328714,6.913454306369186,0.10800379599531154,0.02019737742149884,1.1197385693632171,9.294544470768798,345.78739434813764
12,1216978.0646670477,544.1569322528239,7.928664598229364,0.13481297627919314,0.02399117516900273,1.0795290087859857,8.68170694551349,222.44061647245303
13,3947500.931082766,481.62490884337944,9.261165191549356,0.11777159698047693,0.023907711632350524,1.3406429219281037,13.76644047829856,344.4959527327041
14,3993283.3980245325,473.26472731508704,7.049946968165118,0.09296429232144884,0.014643414577285931,0.9344164698264044,11.954148767436077,545.647453823186
15,3881861.941875751,538.9293603630921,9.223474666703659,0.07863230240747288,0.011986656528388276,1.0113451802754228,8.651234548575683,575.6171095162227
16,2749380.870450971,409.8444324399738,7.897448822109439,0.2226134359985203,0.01787228313041643,1.0421358694594895,9.653543179577982,425.27954392257936
17,2099132.6665455503,550.093119379707,10.731065179431825,0.06414896587500098,0.025950471658428485,1.4331752787901695,9.23167176074076,583.7885654389524
18,1758452.4044608043,879.5206558517917,7.747700529300797,0.0976559915949691,0.012860615765611417,1.0850693516376035,8.086160797826532,503.9420767845632
19,1916552.5632175659,553.5906087349762,7.894767427277659,0.229529096998837,0.016834764159399957,1.0477302173209593,14.444645551885,389.98462705016163
20,708275.0679249982,905.0829395854203,8.183030935802732,0.1916620323430478,0.015848570563006172,1.2551288723314842,11.392259573589904,382.2038349705587
21,2065396.3293048278,543.3916485211726,6.440912724648558,0.18500606178588458,0.014696850052526744,0.9977119186928985,11.743542387263847,273.69910178761216
22,3261584.5070438995,522.8102668552581,7.806032496820123,0.1144906423997568,0.015499077955415667,1.383003196600809,10.799468399573865,592.3136814189634
23,1180457.1777000595,341.83684185578915,8.954887902681337,0.16844881916664925,0.019370801205232643,1.3793921261845223,11.156672115397313,275.0351805884999
24,2452082.289782504,632.9259110564756,8.489054014705012,0.06312275914614802,0.010502676107241019,1.272393763138775,11.702581247867,229.453793526542
25,3902361.1801049253,347.49598607508784,8.03504977764414,0.0907607012812181,0.018350715136672566,0.9476331103191,8.046153862223775,414.1464468265278
26,2441907.460986644,568.6772784523932,6.345991721269307,0.29659273604238473,0.015552672016055055,1.3319458762642145,10.346499607504635,211.9852203199217
27,3434245.7543159616,518.0106686168722,9.756321731234697,0.18635753027257718,0.023013898685037944,1.3228653424786394,10.609717997525532,279.68088753485904
28,517507.0074480268,976.0626317049741,10.898633117489469,0.26231806002447094,0.02032764718067004,0.9854068230778875,12.862500881141028,244.49161771361366
29,2103571.2470962536,964.4541385106368,6.58952009303352,0.05605244548855484,0.016552112833757487,1.2333364570965224,14.556543757125608,532.5178171200647
30,1713061.5557062465,329.6871114019086,8.366330207777409,0.2734808653801175,0.011194358616657057,1.0247474513659751,8.201038912494932,241.65174856861455
31,1331860.7759519697,824.4600941269769,10.770704420692326,0.2400141563671031,0.013851006453467577,1.3827825648131116,8.95681716817295,538.2050797143951
32,2086208.9347787665,775.5413152672052,10.364980032342913,0.24836756957920303,0.018798265742068745,1.1041852600742863,12.909691382864127,382.19712256134056
33,2806024.62046259,664.9742063897042,8.9303145839753,0.1002105798325601,0.01570589042467173,0.9166793655595099,12.002230611606793,213.8965071705813
34,378245.12434246397,942.0893099664362,11.57949578564196,0.2241200796192896,0.025981726905773796,1.4346069178996856,10.870743748270218,395.18297736746354
35,3208931.9571135277,624.9336475556642,6.273828976538669,0.0517593826553021,0.01720456217317411,1.144187512127229,11.092452508621292,363.6525277172308
36,3249173.105704487,608.2414414833984,6.653149962433863,0.15988685047666917,0.025511697228138182,1.1153970266057527,8.75605474876694,456.7619469371214
37,3496433.779424092,432.0969290941904,10.76076615673777,0.13807946895905004,0.019365725286052356,1.2824359634337477,11.973362376187417,354.9697155425962
38,2339836.349153337,497.31380202220424,6.25128447315117,0.14802950545910953,0.019616073067071756,1.3363458069476715,9.136632742954092,524.4516622126281
39,2959516.974561002,524.057137086646,8.681890082265053,0.20032090630544486,0.010318579298536426,1.1592694276996363,9.6469960932339,403.4810228414657
40,921615.4756163855,585.1281681350094,10.599501491638499,0.20219330706512711,0.01992103674994144,1.1774804223797832,10.194218462860219,310.3493455544787
41,3954557.9102385854,926.6999145535036,10.663279532051307,0.2628599699425859,0.011778263878732117,1.3677041784279502,13.877853764006943,426.52771240518916
42,3288472.4072865774,840.0945999530105,10.553374652034353,0.16566330075221625,0.021991650617814988,0.9051612335926228,13.21436969053837,389.0881263599107
43,793990.2145406436,380.3321709806356,9.884716191881155,0.06069683270807701,0.024245567029621204,1.2862171485240732,13.535384342004992,456.3720774892842
44,3300410.4841368776,464.1999649320088,10.538260204454106,0.2158934671028061,0.009778032242222564,1.0201260226585047,12.86727774637455,445.1480081311696
45,2841357.721296397,735.5358093244025,6.5654648689302295,0.05977390363735112,0.020525372458283918,1.3441974417509763,9.35702898750435,213.31166749588323
46,945773.2770147093,346.6935571708423,11.78827124035588,0.16080911831323863,0.013083661573756195,1.4457505668005939,14.524644835922981,543.1170443325491
47,3965971.816419275,706.929673358698,10.102085004053167,0.28451587892864155,0.021760738218547498,1.0092019158003949,12.517876894477132,491.53041260871754
48,2710850.373497406,545.5604678959277,11.556384671929198,0.10546311006674995,0.011670199243261471,1.3353944839896243,10.776327024140603,398.8575615664333
49,1817446.1722700058,966.0259866272213,9.307496309194233,0.192631821025477,0.02600908949677798,1.0845211392292398,9.542639508171371,322.3911537174586
50,2218209.143432583,452.81285453365695,8.76516561178937,0.14448611764486258,0.02298554444979102,1.0710636239992708,11.833800632046747,223.80326206840678
51,2594535.3123866036,336.7500313344334,7.837600294579168,0.08952937343730552,0.011942017548384021,1.442373088998033,9.743689850173878,421.0951834388392
52,3021878.540953094,528.5578131220758,6.045540538731836,0.19772611702216086,0.02592424337555095,1.3705489151186852,9.483298099558056,477.0389668416597
53,3407887.9038421353,354.9569481366199,11.703528434153812,0.23077688238946348,0.025776648780450596,1.0839959710843907,13.72462527159944,200.3045578320179
54,2200375.847654964,458.76567069234704,9.249887954610136,0.193459977723616,0.02536847901687306,1.0444648640702943,10.012939184155085,473.1873997631085
55,2836562.540746544,752.0895675452646,9.48247961367242,0.23108508698136415,0.021800524785927696,1.3953687028590815,13.328056928325285,456.8677691278805
56,3356929.917441726,651.1684291860525,8.992487294834525,0.2982389481786079,0.013804510471981519,1.0540448061646073,8.710817897647962,443.1163293354224
57,3071488.6949717826,933.763950377514,11.862664775715498,0.24377954489572362,0.015591907528649859,1.4410756460923602,13.047718891441253,347.6339731473497
