generation,hypervolume
1,0.12752735919517666
2,0.12754795486321793
3,0.1275557744823566
4,0.12762178268881152
5,0.12764157696563322
6,0.12764597902661617
7,0.1276577222233514
8,0.12765765029122692
9,0.12765863997842197
10,0.12765958477679126
11,0.12765961651961347
12,0.12765962427071428
13,0.12766020820723606
14,0.1276602151043657
15,0.12766022846430314
16,0.12766021528210017
17,0.12766026136858938
18,0.1276607841027735
19,0.12766102720414504
20,0.12766087520257632
21,0.12766097470349239
22,0.12766101534847696
23,0.12766099726980237
24,0.12766105152241292
25,0.12766105349112053
26,0.1276610861363162
27,0.12766102860602796
28,0.12766100988105347
29,0.1276609938728459
30,0.1276609323261655
31,0.12766095025605373
32,0.12766101475356542
33,0.1276610546587856
34,0.12766103627759928
35,0.12766101561916812
36,0.12766103156884245
37,0.12766106828363474
38,0.12766103328352701
39,0.12766101522874665
40,0.12766105436502553
41,0.12766101630489698
42,0.12766099885311627
43,0.12766101215205616
44,0.1276610129839391
45,0.12766101504141028
46,0.12766105435889197
47,0.1276610106138663
48,0.12766100498642174
49,0.1276609902725015
50,0.1276609586826401
