,p_in,T_in,cr,d,far,ratio,v_mean
0,765013.1514842266,409.98410230371513,10.435578341630224,0.1185744952800292,0.0174040163574301,0.8817867566722928,9.55624103377432
1,586181.9988803768,1119.187399803916,16.404810595100077,0.2848722693170341,0.0076318003437364,1.666206746021883,15.849577101547853
2,339395.0621931367,883.3910761702554,11.936517012439344,0.0756632414268895,0.0152660526632437,0.949610212800868,16.64253086491682
3,680434.8395824018,1094.6328790434668,10.010526514641366,0.2843188980285073,0.0166083579098459,0.7107417007385234,5.358097316731226
4,203162.99063037115,1174.1633879496103,13.462302101730431,0.2970795566748594,0.0210033604695611,1.245154458796513,13.79355954277112
5,457437.01761521207,1120.171355451267,11.767817175793043,0.1329132289356727,0.0181188053628337,1.5508696203755212,14.58253655852185
6,856824.7151202378,1148.693737394408,10.045557469162008,0.2118953616167353,0.0165665773973848,1.9536174798642787,11.155919168405996
7,508988.4648552304,512.3101314400009,9.409507082098852,0.1646278473907936,0.0169508740761153,1.7218566596228106,18.004903973408634
8,940440.9238240508,591.3127227512437,14.78402938350319,0.1173980402499738,0.006026334869959,1.991830750504641,6.429176342313013
9,508299.7627713873,443.1674802804817,9.561973652056311,0.2456851811038211,0.0167224498314225,1.940404696059188,18.86762505793384
10,957007.8610587348,490.5985966611928,12.366398061092273,0.1688614820061778,0.0200624695969932,1.344620262657358,12.895078855316692
11,650128.0361502246,589.2726559469834,8.114799714504148,0.2555264614730875,0.0089325915265208,1.7260911400674892,10.740420160390572
12,264059.91810464417,879.463525754275,6.142352039287291,0.0618641494706884,0.0181426433700889,1.0226201923853286,15.81521821791542
13,182191.9171609225,343.61906614025145,14.167494296666916,0.1974507238490458,0.0077357064304733,0.939402687783744,15.205827354015716
14,580525.8164815608,930.1861772146284,8.10993134496144,0.0534545239735999,0.0229563273655995,0.9139420943366648,12.523075320169696
15,653869.2801631104,977.8850765236092,16.287357165432205,0.0826497255887936,0.008107093783533,0.8237985778201821,11.72842125915071
16,661060.7748252369,790.449325862769,7.490592676062861,0.2008158111241645,0.0236604914155102,1.855720856702326,8.498755725616622
17,519781.3431212279,705.4972183189286,12.607488598704448,0.0998365015443621,0.0096680960352202,1.5587961234268537,13.680343917220393
18,976654.1882158968,763.2258963017898,4.536794457414968,0.2238011592509834,0.0131714310868588,1.8401839090528105,12.31901658153893
19,520242.4799006053,805.9430643850188,17.22946004521443,0.0821545909929405,0.0170565787705926,1.8877381006843004,7.669772351785843
20,392466.2189593293,1014.4446148337328,17.35929312930961,0.1915220059104736,0.008234522990406,1.6701921920305545,6.177846691515235
21,894942.4006730545,530.0917618286135,11.202638527821712,0.2599533102901908,0.0264904215251413,1.2008351410560247,13.119723161514017
22,313497.2132911921,356.3382719932825,8.89807624959507,0.236331505695179,0.0166903662212861,1.8587471923545988,9.432509004115648
23,322975.69964963774,346.93198131945394,7.11261643140012,0.0813686105875489,0.0148935617462605,1.4911050124391738,16.847911925089363
24,889120.5815883229,301.05331344039007,17.707351897087772,0.0816911160791541,0.0078941563230687,0.8820352609989477,5.290267608311071
